timestamp,open,high,low,close,volume
1788672540000,79853.66000000,79853.66000000,79853.66000000,79853.66000000,0.00000000
1788672600000,79849.20000000,79849.21000000,79849.20000000,79849.21000000,0.02648000
1788672660000,79849.21000000,79849.21000000,79849.21000000,79849.21000000,0.00000000
1788672720000,79849.21000000,79849.21000000,79849.21000000,79849.21000000,0.00000000
1788672780000,79867.70000000,79867.70000000,79864.59000000,79864.59000000,0.00754000
1788672840000,79864.59000000,79864.59000000,79864.59000000,79864.59000000,0.00000000
1788672900000,79969.82000000,79974.24000000,79964.52000000,79964.52000000,0.05006000
1788672960000,79990.25000000,79990.25000000,79974.58000000,79974.58000000,0.03030000
1788673020000,79974.58000000,79974.58000000,79974.58000000,79974.58000000,0.00000000
1788673080000,79974.58000000,79974.58000000,79974.58000000,79974.58000000,0.00000000
1788673140000,79990.25000000,80082.51000000,79990.25000000,80082.51000000,0.07737000
1788673200000,80103.50000000,80103.50000000,80067.59000000,80067.60000000,0.00405000
1788673260000,80086.45000000,80086.45000000,80086.45000000,80086.45000000,0.00012000
1788673320000,80089.20000000,80089.20000000,80067.61000000,80067.61000000,0.00684000
1788673380000,80042.70000000,80042.70000000,80036.11000000,80036.13000000,0.00285000
1788673440000,80036.13000000,80036.13000000,80036.13000000,80036.13000000,0.00000000
1788673500000,80036.13000000,80036.13000000,80036.13000000,80036.13000000,0.00000000
1788673560000,80036.13000000,80036.13000000,80036.13000000,80036.13000000,0.00000000
1788673620000,80017.09000000,80017.09000000,80017.09000000,80017.09000000,0.00031000
1788673680000,80017.09000000,80017.09000000,80017.09000000,80017.09000000,0.00000000
1788673740000,80017.09000000,80017.09000000,80017.09000000,80017.09000000,0.00000000
1788673800000,79996.89000000,79996.89000000,79996.89000000,79996.89000000,0.00013000
1788673860000,79996.89000000,79996.89000000,79996.89000000,79996.89000000,0.00000000
1788673920000,80000.58000000,80000.58000000,80000.58000000,80000.58000000,0.00006000
1788673980000,79996.09000000,79996.09000000,79996.09000000,79996.09000000,0.00134000
1788674040000,79996.09000000,79996.09000000,79984.47000000,79986.23000000,0.00081000
1788674100000,79986.23000000,79986.23000000,79986.23000000,79986.23000000,0.00003000
1788674160000,79986.23000000,79986.23000000,79986.23000000,79986.23000000,0.00000000
1788674220000,79986.23000000,79986.23000000,79986.23000000,79986.23000000,0.00000000
1788674280000,79986.23000000,79986.23000000,79986.23000000,79986.23000000,0.00000000
1788674340000,79956.65000000,79956.65000000,79956.65000000,79956.65000000,0.00031000
1788674400000,79980.47000000,79980.47000000,79953.60000000,79955.68000000,0.00094000
1788674460000,79955.68000000,79955.68000000,79955.68000000,79955.68000000,0.00000000
1788674520000,79955.68000000,79955.68000000,79955.68000000,79955.68000000,0.00000000
1788674580000,79955.68000000,79955.68000000,79955.68000000,79955.68000000,0.00000000
1788674640000,79959.88000000,79959.88000000,79959.88000000,79959.88000000,0.00013000
1788674700000,79959.87000000,79959.87000000,79959.87000000,79959.87000000,0.00026000
1788674760000,79954.86000000,79954.86000000,79944.02000000,79944.02000000,0.00051000
1788674820000,79940.04000000,79940.04000000,79940.04000000,79940.04000000,0.00049000
1788674880000,79940.04000000,79940.04000000,79940.04000000,79940.04000000,0.00042000
1788674940000,79940.04000000,79940.05000000,79940.04000000,79940.04000000,0.00025000
1788675000000,79940.04000000,79940.04000000,79940.04000000,79940.04000000,0.00029000
1788675060000,79931.67000000,79953.44000000,79931.67000000,79953.44000000,0.00043000
1788675120000,79953.44000000,79981.55000000,79953.44000000,79981.55000000,0.00484000
1788675180000,79960.26000000,79960.26000000,79940.44000000,79940.44000000,0.00041000
1788675240000,79940.44000000,79940.44000000,79931.68000000,79931.68000000,0.00033000
1788675300000,79931.68000000,79931.68000000,79931.68000000,79931.68000000,0.00035000
1788675360000,79931.68000000,79931.68000000,79922.99000000,79922.99000000,0.00036000
1788675420000,79920.07000000,79920.07000000,79915.31000000,79915.31000000,0.00033000
1788675480000,79906.58000000,79906.58000000,79889.45000000,79889.45000000,0.00033000
1788675540000,79889.45000000,79889.46000000,79889.45000000,79889.46000000,0.00389000
1788675600000,79907.77000000,79907.77000000,79907.77000000,79907.77000000,0.00034000
1788675660000,79907.77000000,79907.77000000,79907.77000000,79907.77000000,0.00032000
1788675720000,79905.20000000,79905.20000000,79872.64000000,79872.64000000,0.00076000
1788675780000,79872.64000000,79872.64000000,79872.64000000,79872.64000000,0.00022000
1788675840000,79872.64000000,79872.64000000,79829.94000000,79851.75000000,0.05175000
1788675900000,79851.70000000,79851.70000000,79831.39000000,79835.40000000,0.04418000
1788675960000,79835.40000000,79844.59000000,79835.40000000,79844.59000000,0.06834000
1788676020000,79851.71000000,79851.71000000,79832.99000000,79845.91000000,0.09779000
1788676080000,79845.91000000,79848.04000000,79844.00000000,79848.04000000,0.04736000
1788676140000,79848.83000000,79848.84000000,79844.29000000,79846.34000000,0.06275000
1788676200000,79831.40000000,79831.40000000,79831.40000000,79831.40000000,0.02505000
1788676260000,79831.40000000,79831.40000000,79831.40000000,79831.40000000,0.00000000
1788676320000,79831.40000000,79831.40000000,79831.40000000,79831.40000000,0.00000000
1788676380000,79831.40000000,79831.40000000,79831.40000000,79831.40000000,0.00000000
1788676440000,79844.09000000,79844.09000000,79844.09000000,79844.09000000,0.00025000
1788676500000,79844.27000000,79844.27000000,79844.27000000,79844.27000000,0.00010000
1788676560000,79844.27000000,79844.27000000,79844.27000000,79844.27000000,0.00000000
1788676620000,79844.27000000,79844.27000000,79844.27000000,79844.27000000,0.00000000
1788676680000,79844.27000000,79844.27000000,79844.27000000,79844.27000000,0.00000000
1788676740000,79844.27000000,79844.27000000,79844.27000000,79844.27000000,0.00000000
1788676800000,79831.39000000,79831.39000000,79827.40000000,79827.40000000,0.00056000
1788676860000,79808.03000000,79808.03000000,79808.03000000,79808.03000000,0.00649000
1788676920000,79769.57000000,79801.67000000,79769.57000000,79801.67000000,0.00743000
1788676980000,79801.99000000,79802.01000000,79801.99000000,79802.01000000,0.04203000
1788677040000,79802.01000000,79802.01000000,79802.01000000,79802.01000000,0.00000000
1788677100000,79831.38000000,79831.38000000,79827.39000000,79827.39000000,0.00659000
